name,website,category_hint,confidence,validation_status,evidence_count,description,category,auth_methods,self_serve,api_surface,api_breadth,mcp,buildability,blocker,access_model
Ahrefs,ahrefs.com/api,Data SEO and Scraping,0.88,SUPPORTED,109,Ahrefs is a tool for SEO and marketing data.,Data SEO and Scraping,SAML,Self-serve (free tier available),API v3,Broad,Official MCP,HIGH,None,Self-Serve
Aircall,aircall.io,Communications and Messaging,0.62,UNSUPPORTED,15,"Aircall is an AI-powered, cloud-based phone system and communication platform designed for modern sales and customer support teams.",Communications and Messaging,UNKNOWN,Self-serve (7-day free trial available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Airtable,airtable.com/developers,Productivity and Project Management,0.62,UNSUPPORTED,4,Airtable is a next-gen app-building platform that allows teams to build custom business apps without coding.,Productivity and Project Management,UNKNOWN,Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Amazon Selling Partner,developer-docs.amazon.com/sp-api,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,Amazon Selling Partner API for various fulfillment and procurement services,Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Apify,docs.apify.com,Data SEO and Scraping,0.38,INSUFFICIENT_EVIDENCE,1,"Develop, run, and share web scraping and automation tools in the cloud.",Data SEO and Scraping,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Self-Serve
Asana,developers.asana.com,Productivity and Project Management,0.88,SUPPORTED,4,Asana is a platform for project management and team collaboration.,Productivity and Project Management,"OAuth, Personal Access Token, Service Account, OpenID Connect",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Attio,attio.com,CRM and Sales,0.75,SUPPORTED,21,Attio is a collaborative workspace for managing relationships and workflows.,CRM and Sales,OAuth,UNKNOWN,"REST API, OpenAPI",Broad,Official MCP,HIGH,None,Unknown
BigCommerce,developer.bigcommerce.com,Ecommerce,0.88,SUPPORTED,3,BigCommerce is a commerce-centric platform for building and scaling ecommerce businesses.,Ecommerce,Bearer Token,Self-serve (free tier available),"REST API, GraphQL",Broad,Community MCP,HIGH,None,Self-Serve
Binance,binance-docs.github.io,Finance and Fintech,0.0,INCOMPLETE,0,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,INCOMPLETE,Unknown
Brex,developer.brex.com,Finance and Fintech,0.75,SUPPORTED,2,"Brex is the first fully unified spend platform — with global corporate cards, expense management, reimbursements, travel, and bill pay.",Finance and Fintech,Bearer Token,Self-serve (free tier available),"REST API, OpenAPI",Broad,UNKNOWN,HIGH,None,Self-Serve
Bright Data,brightdata.com,Data SEO and Scraping,0.75,SUPPORTED,4,Bright Data provides web data extraction services through a robust proxy network and APIs.,Data SEO and Scraping,"API Key, Native Access (username:password)",Self-serve (free tier available),"REST API, Webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Clay,clay.com,Data SEO and Scraping,0.75,SUPPORTED,5,Clay is a platform that uses AI to create personalized outreach from enriched prospect data.,Data SEO and Scraping,API Key,Self-serve (free tier available),"HTTP API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
ClickUp,clickup.com/api,Productivity and Project Management,0.88,SUPPORTED,3,ClickUp is a productivity platform that offers task management and collaboration tools.,Productivity and Project Management,"OAuth2, API Key",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Close,close.com,CRM and Sales,0.88,SUPPORTED,44,Close is a sales CRM focused on sales execution.,CRM and Sales,Google SSO,Self-serve (free trial available),"REST API, webhooks",Broad,Official MCP,HIGH,None,Self-Serve
Cloudflare,developers.cloudflare.com/api,Developer Infra and Data,0.75,SUPPORTED,3,Cloudflare provides a suite of services for web performance and security.,Developer Infra and Data,OAuth2,Self-serve (free tier available),GraphQL,Broad,UNKNOWN,HIGH,None,Self-Serve
Coda,coda.io/developers,Productivity and Project Management,0.88,SUPPORTED,4,Superhuman Docs API for programmatic interaction with documents.,Productivity and Project Management,Bearer,Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Consensus,consensus.app,AI Research and Media,0.12,INSUFFICIENT_EVIDENCE,2,Consensus helps gather peer-reviewed sources and highlights relevant papers.,AI Research and Media,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Copper,copper.com,CRM and Sales,0.25,INSUFFICIENT_EVIDENCE,47,Copper is the CRM designed for Google Workspace.,CRM and Sales,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Datadog,docs.datadoghq.com/api,Developer Infra and Data,0.88,SUPPORTED,3,"Datadog is a monitoring and analytics platform for developers, IT operations teams, and business users.",Developer Infra and Data,"API Key, Personal Access Tokens, Service Access Tokens, SSO with SAML",Self-serve (free tier available),"REST API, SDKs",Broad,Official MCP,HIGH,None,Self-Serve
DataForSEO,docs.dataforseo.com,Data SEO and Scraping,0.75,SUPPORTED,4,DataForSEO API for SEO software and data analysis.,Data SEO and Scraping,Basic Auth,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
DealCloud,api.docs.dealcloud.com,CRM and Sales,0.75,SUPPORTED,3,DealCloud provides a comprehensive overview of REST APIs for custom integrations and automating workflows.,CRM and Sales,API Key,UNKNOWN,"REST API, OpenAPI",Broad,Official MCP,HIGH,None,Unknown
Devin,docs.devin.ai,AI Research and Media,0.88,SUPPORTED,6,Devin is an AI-powered development tool that integrates with existing workflows.,AI Research and Media,"API Key, Personal Access Token",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Discord,discord.com,Communications and Messaging,0.75,SUPPORTED,49,Discord is a communication platform designed for creating communities.,Communications and Messaging,"OAuth2, Bearer Token",Self-serve (free tier available),"REST API, Webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
Ecwid,api-docs.ecwid.com,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,Ecwid Ecommerce integration platform,Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
fanbasis,fanbasis.com,Ecommerce,0.12,INSUFFICIENT_EVIDENCE,2,"All-in-one software to run high-ticket, high-margin digital businesses.",Ecommerce,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Fathom,fathom.video,AI Research and Media,0.25,INSUFFICIENT_EVIDENCE,2,Fathom gives teams a shared source of truth across every customer conversation.,AI Research and Media,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Unknown
Firecrawl,firecrawl.dev,Data SEO and Scraping,0.88,SUPPORTED,4,"Firecrawl helps AI systems search, scrape, and interact with the web.",Data SEO and Scraping,"API Key, WorkOS ID-JAG",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Freshdesk,freshdesk.com,Support and Helpdesk,0.75,SUPPORTED,364,Freshdesk is a customer support software.,Support and Helpdesk,API Key,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Front,front.com,Support and Helpdesk,0.62,UNSUPPORTED,25,"Front is a modern CX platform combining client communication, automation, and analytics for customer-first teams.",Support and Helpdesk,UNKNOWN,Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
GitHub,docs.github.com/rest,Developer Infra and Data,0.88,SUPPORTED,3,GitHub Copilot offers AI-powered coding assistance with various subscription plans.,Developer Infra and Data,SSH,Self-serve (free tier available),"REST API, OpenAPI",Broad,No known MCP,HIGH,None,Self-Serve
Gladly,gladly.com,Support and Helpdesk,0.38,INSUFFICIENT_EVIDENCE,17,"Gladly is customer experience AI designed to deliver efficiency today and lasting customer value over time—through engagement, not deflection.",Support and Helpdesk,OAuth2,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
GoHighLevel,highlevel.stoplight.io,Marketing Ads Email and Social,0.0,INSUFFICIENT_EVIDENCE,5,UNKNOWN,Marketing Ads Email and Social,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Google Ads,developers.google.com/google-ads,Marketing Ads Email and Social,0.88,SUPPORTED,26,Google Ads API for managing advertising campaigns.,Marketing Ads Email and Social,"OAuth 2.0, Service Account",Self-serve (free tier available),REST API,Broad,Official MCP,HIGH,None,Self-Serve
Gorgias,gorgias.com,Support and Helpdesk,0.75,SUPPORTED,18,Gorgias is the conversational AI platform for ecommerce that drives sales and resolves support inquiries.,Support and Helpdesk,"OAuth2, Access Tokens",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Grain,grain.com,AI Research and Media,0.75,SUPPORTED,4,Grain connects AI chat clients to meeting data for analytics and workflows.,AI Research and Media,UNKNOWN,Gated (contact sales),REST API,Broad,Official MCP,HIGH,None,Gated
Gumroad,gumroad.com/api,Ecommerce,0.25,INSUFFICIENT_EVIDENCE,1,Gumroad is a platform for selling digital products and managing memberships.,Ecommerce,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Harvest,harvestapp.com,Productivity and Project Management,0.25,INSUFFICIENT_EVIDENCE,1,"Harvest helps professional teams track time, bill clients, optimize team time, and measure performance with confidence.",Productivity and Project Management,UNKNOWN,Self-serve (free tier available),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Self-Serve
Help Scout,helpscout.com,Support and Helpdesk,0.75,SUPPORTED,31,Help Scout is a customer support platform that helps teams manage customer conversations.,Support and Helpdesk,OAuth2,Self-serve (free tier available),"REST API, webhooks",Broad,UNKNOWN,HIGH,None,Self-Serve
higgsfield,higgsfield.ai,AI Research and Media,0.38,INSUFFICIENT_EVIDENCE,4,Higgsfield is a generative AI toolkit for creating images and videos.,AI Research and Media,UNKNOWN,Gated (contact sales),UNKNOWN,UNKNOWN,Official MCP,UNKNOWN,None,Gated
HubSpot,hubspot.com,CRM and Sales,0.75,SUPPORTED,25,"HubSpot is a platform for marketing, sales, service, and CRM.",CRM and Sales,"OAuth2, API Key",Self-serve (free tier available),REST API,Broad,UNKNOWN,HIGH,None,Self-Serve
Intercom,intercom.com,Support and Helpdesk,0.75,SUPPORTED,30,Intercom is the customer service platform combining human agents and AI agents in one workspace.,Support and Helpdesk,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,No known MCP,HIGH,None,Self-Serve
iPayX,ipayx.ai/docs,Finance and Fintech,0.12,INSUFFICIENT_EVIDENCE,2,iPayX Protocol is the neutral FX verification layer for fintech sales teams and FX brokers.,Finance and Fintech,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Jira,developer.atlassian.com,Productivity and Project Management,0.12,INSUFFICIENT_EVIDENCE,2,Atlassian cloud developer documentation,Productivity and Project Management,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
Klaviyo,developers.klaviyo.com,Marketing Ads Email and Social,0.62,UNSUPPORTED,4,Build personalized experiences that scale.,Marketing Ads Email and Social,UNKNOWN,Self-serve (free tier available),"REST API, SDKs",Broad,UNKNOWN,HIGH,None,Self-Serve
Lark,open.larksuite.com,Communications and Messaging,0.88,SUPPORTED,13,Lark is an advanced enterprise collaboration and management platform.,Communications and Messaging,"OAuth2, API Key",Self-serve (free tier available),"REST API, SDKs",Broad,No known MCP,HIGH,None,Self-Serve
Linear,developers.linear.app,Productivity and Project Management,0.38,INSUFFICIENT_EVIDENCE,2,Linear is a platform for building apps and integrations using GraphQL API and TypeScript SDK.,Productivity and Project Management,"OAuth 2.0, API Key",UNKNOWN,GraphQL,UNKNOWN,UNKNOWN,UNKNOWN,None,Unknown
